"Parcel ID","Year Built","Building Area","CITYAREA","TOWNSHIPCODE","CITYTWNAREA","Occupancy","Lot Area (sf)","Sale Date","Sale Price","Recording","Assessed Value","Address","Multi Parcel Sale","Vacant","Appr_Total"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","8/20/2013 12:00:00 AM","0","2013-16501","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","10/6/2023 12:00:00 AM","0","2023-14988","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","3/1/2018 12:00:00 AM","849030","2018-3290","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","3/26/2021 12:00:00 AM","1900000","2021-9557","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","6/13/2008 12:00:00 AM","1100000","2008-10545","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"0210313016","1913","11660","PERRY","12","PERRY","Hotel / Motel","16800","9/26/2013 12:00:00 AM","595000","2013-18054","1009930","1112 WILLIS AVE, PERRY","Y","N","1009930"
"1102401011","1971","16663","DALLAS CENTER","4","DALLAS CENTER","Nursing Home","190765.8","","","","12025070","1204 LINDEN ST, DALLAS CENTER","","N","12025070"
"1235209003","2002","3404","CLIVE","3","CLIVE","Store - Retail Small","45171","11/13/2002 12:00:00 AM","900000","2002-16951","1267320","15600 HICKMAN RD, CLIVE","","N","1558810"
"1235209003","2002","3404","CLIVE","3","CLIVE","Store - Retail Small","45171","11/21/1997 12:00:00 AM","304920","1997-10061","1267320","15600 HICKMAN RD, CLIVE","","N","1558810"
"1129455005","1977","2760","ADEL","1","ADEL","Store - Retail Small","26136","10/3/2019 12:00:00 AM","300000","2019-18663","441280","119 NILE KINNICK S, ADEL","","N","441280"
"1129455005","1977","2760","ADEL","1","ADEL","Store - Retail Small","26136","10/5/2018 12:00:00 AM","230000","2018-19041","441280","119 NILE KINNICK S, ADEL","","N","441280"
"1530112008","1921","2100","DESOTO","6","DE SOTO","Shop","4948","3/4/2024 12:00:00 AM","160000","2024-02841","69820","328 WALNUT ST, DESOTO","","N","101430"
"1530112008","1921","2100","DESOTO","6","DE SOTO","Shop","4948","6/29/1990 12:00:00 AM","2500","686-362","69820","328 WALNUT ST, DESOTO","","N","101430"
"1131126011","2022","49941","","1","ADEL","Metal Shop - Steel Frame","115869.6","10/1/2023 12:00:00 AM","8205732","2024-03000","3878950"," ","","N","3878950"
"1131126011","2022","49941","","1","ADEL","Metal Shop - Steel Frame","115869.6","10/15/2021 12:00:00 AM","200000","2021-30569","3878950"," ","","N","3878950"
"1131126011","2022","49941","","1","ADEL","Metal Shop - Steel Frame","115869.6","9/7/2005 12:00:00 AM","30000","2005-14840","3878950"," ","","N","3878950"
"1514300900","2000","0","","32","VAN METER TWP","Tower - Microwave (Heavy Design)","","","","","196310"," ","","N","196310"
"1519152004","2005","8000","DESOTO","6","DE SOTO","Metal Shop - Steel Frame","82328","3/5/2010 12:00:00 AM","455000","2010-2287","823640","7 ELLEFSON DR, DESOTO","Y","N","866410"
"1519152004","2005","8000","DESOTO","6","DE SOTO","Metal Shop - Steel Frame","82328","4/13/2004 12:00:00 AM","125000","2004-5120","823640","7 ELLEFSON DR, DESOTO","Y","N","866410"
"1519152004","2005","8000","DESOTO","6","DE SOTO","Metal Shop - Steel Frame","82328","10/27/2009 12:00:00 AM","0","2009-18238","823640","7 ELLEFSON DR, DESOTO","Y","N","866410"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","5/18/2011 12:00:00 AM","180000","2011-6042","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","5/10/2017 12:00:00 AM","195000","2017-8681","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","12/21/2023 12:00:00 AM","275000","2024-01130","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","1/1/2005 12:00:00 AM","150000","2005-5","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","12/20/2004 12:00:00 AM","0","2005-4","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","11/13/2006 12:00:00 AM","170000","2006-18500","218070","807 MAIN ST, ADEL","","N","239070"
"1129383009","1900","1680","ADEL","1","ADEL","Store - Retail Small","2904","5/3/2013 12:00:00 AM","0","2013-8242","218070","807 MAIN ST, ADEL","","N","239070"
"1613404001","2010","9516","WEST DES MOINES","17","WEST DES MOINES","Shopping Center - Neighborhood","54450","8/3/2010 12:00:00 AM","1200000","2010-9838","2682020","6630 MILLS CIVIC PKWY #1000, WEST DES MOINES","","N","2682020"
"1625101003","2020","269353","WEST DES MOINES","17","WEST DES MOINES","Recreational Facility","1580356.8","","","","36882290","6500 GRAND AVE, WEST DES MOINES","","Y","36882290"
"1304178016","2010","5600","REDFIELD","13","REDFIELD","Fraternal Building","17424","","","","841040","1116 THOMAS ST, REDFIELD","","Y","841040"
"1614451002","2016","15684","WEST DES MOINES","17","WEST DES MOINES","Office - General","174240","3/13/2013 12:00:00 AM","958320","2014-13065","4022250","7760 CASCADE AVE, WEST DES MOINES","","N","4022250"
"1234100004","1969","0","","0","N/A","Manufactured Home Park","1210968","","","","1987390"," ","","N","1987390"
"1234100005","1999","0","WAUKEE","0","N/A","Manufactured Home Park","1742400","","","","1354010"," , WAUKEE","","N","1354010"
"0210305016","1917","1822","PERRY","12","PERRY","Store - Retail Small","3073","8/8/2016 12:00:00 AM","36000","2016-14732","44740","1301 2ND ST, PERRY","Y","N","44740"
"0707280001","1975","5000","MINBURN","11","MINBURN","Metal Warehouse - Rigid Steel Frame","20850","5/26/2011 12:00:00 AM","0","2011-6994","54760","500 WALNUT ST, MINBURN","Y","N","54760"
"0707284017","1968","1920","MINBURN","11","MINBURN","Metal Shop - Steel Frame","2380","5/26/2011 12:00:00 AM","0","2011-6994","31520","500 WALNUT ST, MINBURN","Y","N","31520"
"1234107003","2010","3240","WAUKEE","16","WAUKEE","Office - Medical / Dental","12456","","","","429560","54 E HICKMAN RD, WAUKEE","","N","538410"
"1232226002","2018","14693","WAUKEE","16","WAUKEE","Auto / Impl. Showroom & Sales","394218","3/29/2017 12:00:00 AM","2065833","2017-5581","9135890","1000 W HICKMAN RD, WAUKEE","Y","N","9135890"
"1232226002","2018","14693","WAUKEE","16","WAUKEE","Auto / Impl. Showroom & Sales","394218","3/29/2017 12:00:00 AM","2065833","2017-5579","9135890","1000 W HICKMAN RD, WAUKEE","Y","N","9135890"
"1227376002","2003","5080","WAUKEE","16","WAUKEE","Office - Medical / Dental","40075.2","5/21/2003 12:00:00 AM","200000","","1209620","120 NE DARTMOOR DR, WAUKEE","","N","1209620"
"1227376002","2003","5080","WAUKEE","16","WAUKEE","Office - Medical / Dental","40075.2","2/27/2006 12:00:00 AM","750000","2006-2969","1209620","120 NE DARTMOOR DR, WAUKEE","","N","1209620"
"1227376002","2003","5080","WAUKEE","16","WAUKEE","Office - Medical / Dental","40075.2","10/12/2006 12:00:00 AM","0","2006-16683","1209620","120 NE DARTMOOR DR, WAUKEE","","N","1209620"
"1227376002","2003","5080","WAUKEE","16","WAUKEE","Office - Medical / Dental","40075.2","8/28/2017 12:00:00 AM","1050000","2017-17250","1209620","120 NE DARTMOOR DR, WAUKEE","","N","1209620"
"1229200901","2001","0","WAUKEE","16","WAUKEE","Tower - CATV (Heavy Design)","","11/6/2023 12:00:00 AM","485000","2023-18425","448940","800 NW 10TH ST, WAUKEE","Y","N","448940"
"1522353007","2011","3024","VAN METER","15","VAN METER","Bank - Main","57914.8","12/17/2010 12:00:00 AM","192600","2010-17852","780650","475 MILL ST, VAN METER","Y","N","780650"
"0812280001","2022","8100","GRANGER","8","GRANGER","Office - General","740084","8/19/2021 12:00:00 AM","988133","2021-24549","7549750","1800 BURR OAK BLVD, GRANGER","","N","7549750"
